insee,nom,wikipedia,surf_ha,cx,cy
64243,Géus-d'Arzacq,fr:Géus-d'Arzacq,410,-0.5272611985995612,43.478595209240595
64548,Uzan,fr:Uzan,623,-0.5026675969822909,43.47370733514262
64143,Bouillon,fr:Bouillon (Pyrénées-Atlantiques),328,-0.5059045078463325,43.49471340008422
64318,Larreule,fr:Larreule (Pyrénées-Atlantiques),1012,-0.47170015428980255,43.4757020804371
64226,Fichous-Riumayou,fr:Fichous-Riumayou,640,-0.43907077076757917,43.48261585521545
64355,Louvigny,fr:Louvigny (Pyrénées-Atlantiques),706,-0.4453609404114004,43.505079595764116
64073,Aubin,fr:Aubin (Pyrénées-Atlantiques),584,-0.42128283077543205,43.4352860282105
64183,Caubios-Loos,fr:Caubios-Loos,719,-0.40300709220813535,43.41744561151346
64387,Momas,fr:Momas,1457,-0.44271565072483254,43.445669328537264
64146,Bournos,fr:Bournos,575,-0.3973503799413874,43.43818065599655
64203,Doumy,fr:Doumy,643,-0.3739198574323794,43.444714133686176
64560,Viven,fr:Viven,364,-0.3761344571603941,43.46201611713268
64347,Lonçon,fr:Lonçon,550,-0.41957949475116385,43.473075165214084
64514,Séby,fr:Séby,603,-0.3986337745080165,43.48165818361408
64383,Mialos,fr:Mialos,449,-0.41036853422179187,43.50142641266991
64077,Auga,fr:Auga,401,-0.3788345481817032,43.47717814071699
64332,Lème,fr:Lème,669,-0.3610060561682165,43.49614125247919
64234,Garos,fr:Garos,1207,-0.480730398598026,43.50479162864697
64447,Piets-Plasence-Moustrou,fr:Piets-Plasence-Moustrou,842,-0.5037329628131307,43.52626332170581
64557,Vignes,fr:Vignes (Pyrénées-Atlantiques),804,-0.41454770548387415,43.520015069602174
64380,Méracq,fr:Méracq,832,-0.3836252844489712,43.51377153062952
64456,Pouliacq,fr:Pouliacq,342,-0.35238760592751694,43.52702268035583
64195,Coublucq,fr:Coublucq,556,-0.36531128486154274,43.53609284688213
64518,Sendets,fr:Sendets (Pyrénées-Atlantiques),782,-0.2656282144627042,43.3018128522566
64520,Serres-Morlaàs,fr:Serres-Morlaàs,386,-0.26117570585357125,43.32323897665774
64438,Ouillon,fr:Ouillon,641,-0.2306650884133768,43.328455222355885
64405,Morlaàs,fr:Morlaàs,1358,-0.2627339073021881,43.34267564970892
64370,Maucor,fr:Maucor,497,-0.28170609538544933,43.35713806894326
64114,Bernadets,fr:Bernadets,373,-0.28222707238495354,43.37669270688349
64027,Anos,fr:Anos,179,-0.28952858662637426,43.39834508051138
64482,Saint-Jammes,fr:Saint-Jammes,410,-0.2458019064352783,43.35728130212666
64516,Sedzère,fr:Sedzère,1270,-0.17777540091408303,43.34221346855138
64227,Gabaston,fr:Gabaston,1278,-0.21452677625984273,43.356097250296536
64262,Higuères-Souye,fr:Higuères-Souye,744,-0.25101322799582015,43.380454447723196
64544,Urost,fr:Urost,228,-0.15070655644646264,43.33972396502247
64043,Argelos,fr:Argelos (Pyrénées-Atlantiques),606,-0.3472426657672271,43.448598589588116
64078,Auriac,fr:Auriac (Pyrénées-Atlantiques),515,-0.32602094790483344,43.45935570668253
64536,Thèze,fr:Thèze (Pyrénées-Atlantiques),796,-0.34413036400917235,43.47587274879731
64308,Lalonquette,fr:Lalonquette,532,-0.31226761162294947,43.49111979880727
64385,Miossens-Lanusse,fr:Miossens-Lanusse,915,-0.30281410133478676,43.46768541954163
64167,Carrère,fr:Carrère (Pyrénées-Atlantiques),664,-0.28061502802187754,43.476680640104966
64190,Claracq,fr:Claracq,991,-0.2910643450133799,43.50716017128416
64361,Lussagnet-Lusson,fr:Lussagnet-Lusson,678,-0.19908553323863343,43.44230854722716
64311,Lannecaube,fr:Lannecaube,867,-0.2172068891139095,43.48314559007269
64408,Mouhous,fr:Mouhous,332,-0.2569331222173806,43.490914478960214
64307,Lalongue,fr:Lalongue,794,-0.18934684705361843,43.48122555074576
64232,Garlède-Mondebat,fr:Garlède-Mondebat,868,-0.3334532993723117,43.50726066154744
64464,Ribarrouy,fr:Ribarrouy,230,-0.27391113179349424,43.523484092409895
64534,Taron-Sadirac-Viellenave,fr:Taron-Sadirac-Viellenave,1386,-0.24530134328702652,43.51104433365436
64090,Baliracq-Maumusson,fr:Baliracq-Maumusson,601,-0.25106966639171713,43.542041417365624
64153,Burosse-Mendousse,fr:Burosse-Mendousse,562,-0.20780509321247967,43.513493224087384
64552,Vialer,fr:Vialer,733,-0.17896908037526493,43.50828415975494
64366,Mascaraàs-Haron,fr:Mascaraàs-Haron,875,-0.21534182256660347,43.54003285858295
64486,Saint-Jean-Poudge,fr:Saint-Jean-Poudge,393,-0.18518840499812725,43.52792087664966
64532,Tadousse-Ussau,fr:Tadousse-Ussau,472,-0.19255595483914,43.547050777498136
64180,Castetpugon,fr:Castetpugon,741,-0.2302820121827908,43.564148458957604
64369,Maspie-Lalonquère-Juillacq,fr:Maspie-Lalonquère-Juillacq,1081,-0.14812081934143426,43.42426393628242
64524,Simacourbe,fr:Simacourbe,1116,-0.17007401008245002,43.44339956495383
64503,Samsons-Lion,fr:Samsons-Lion,499,-0.1218087944876025,43.43743846825144
64446,Peyrelongue-Abos,fr:Peyrelongue-Abos,868,-0.10237586692217361,43.419737956081136
64331,Lembeye,fr:Lembeye,845,-0.10675410651982303,43.452818402011204
64337,Lespielle,fr:Lespielle,720,-0.15260259972287776,43.47078874729034
64236,Gayon,fr:Gayon,397,-0.16622563802693738,43.48515628304526
64052,Arricau-Bordes,fr:Arricau-Bordes,813,-0.13922810219906517,43.50147043206805
64210,Escurès,fr:Escurès,416,-0.12467905529156796,43.46536835270443
64182,Castillon,fr:Castillon (Canton de Lembeye),475,-0.1260240191270646,43.480773194808926
64193,Corbère-Abères,fr:Corbère-Abères,710,-0.09097965566363436,43.47671578039517
64517,Séméacq-Blachon,fr:Séméacq-Blachon,1090,-0.10737763135296158,43.50359101404396
65472,Villefranque,fr:Villefranque (Hautes-Pyrénées),318,-0.003434967653494427,43.5046072646078
64159,Cadillon,fr:Cadillon,541,-0.1569526354878486,43.52493293534576
64192,Conchez-de-Béarn,fr:Conchez-de-Béarn,455,-0.16859710915674078,43.54491056161438
64079,Aurions-Idernes,fr:Aurions-Idernes,642,-0.130766391812843,43.53177033693187
64401,Mont-Disse,fr:Mont-Disse,540,-0.14840556693052281,43.55412789716434
64323,Lasserre,fr:Lasserre (Pyrénées-Atlantiques),426,-0.08181461276731382,43.51037192938492
40036,Bénesse-Maremne,fr:Bénesse-Maremne,1877,-1.3647112813637778,43.63745554254285
40004,Angresse,fr:Angresse,758,-1.3644865243158961,43.661385569282416
40291,Saubion,fr:Saubion,763,-1.3324017047502736,43.67033279357109
40264,Saint-Jean-de-Marsacq,fr:Saint-Jean-de-Marsacq,2619,-1.270154700075209,43.623721748488016
40284,Saint-Vincent-de-Tyrosse,fr:Saint-Vincent-de-Tyrosse,2089,-1.2998451040475407,43.65889297412333
40129,Josse,fr:Josse (Landes),944,-1.23297379324059,43.6435032162307
40317,Tosse,fr:Tosse,1798,-1.3177707741256344,43.69732967882966
40261,Saint-Geours-de-Maremne,fr:Saint-Geours-de-Maremne,4320,-1.2369385801455282,43.690050426432364
40222,Pey,fr:Pey (Landes),1405,-1.2084752215877341,43.61975819878105
40211,Orist,fr:Orist,1492,-1.1854033541488305,43.64079173075734
40293,Saubusse,fr:Saubusse,1044,-1.1903573258742157,43.66955127929817
40301,Siest,fr:Siest,292,-1.1338396775450166,43.64853373905184
40125,Heugas,fr:Heugas,1899,-1.0768037411432834,43.6401848783767
40207,Oeyreluy,fr:Oeyreluy,568,-1.079034507965864,43.67618766512071
40300,Seyresse,fr:Seyresse,220,-1.061450066265638,43.68509825426439
40088,Dax,fr:Dax,1974,-1.053270404607673,43.706564387697085
40279,Saint-Paul-lès-Dax,fr:Saint-Paul-lès-Dax,5824,-1.0727515724708079,43.74761333776712
40021,Azur,fr:Azur (Landes),1677,-1.2961238265266486,43.79566561040481
40150,Léon,fr:Léon (Landes),6665,-1.2816356047017885,43.84652213611579
40276,Saint-Michel-Escalus,fr:Saint-Michel-Escalus,1768,-1.2602384866075125,43.88938560812106
40168,Magescq,fr:Magescq,7699,-1.2071438519643223,43.77673977152394
40123,Herm,fr:Herm (Landes),5227,-1.1248962586943474,43.805262555944495
40075,Castets,fr:Castets (Landes),9102,-1.1372404121471131,43.87959712238078
40155,Linxe,fr:Linxe,8127,-1.2169820446478485,43.92406807073111
40101,Gaas,fr:Gaas (Landes),923,-1.0412557232558686,43.610217892479
40233,Pouillon,fr:Pouillon (Landes),4956,-0.9950126118234051,43.6096074096866
40035,Bénesse-lès-Dax,fr:Bénesse-lès-Dax,601,-1.0380219380093698,43.64647813923155
